code,name,application,topic
KAFKA,Kafka,CMCP,TOPIC_GCIN_DELETION
KAFKA,Kafka,GCIN,TOPIC_CUSTOMER
KAFKA,Kafka,GCIN,TOPIC_DOCUMENT
