source,interface,target
GCIN,REST,CMCP
TADM,REST,GCIN
IBGDW,REST,GCIN
AOS,FILE,GCIN
OSCA,REST,GCIN
LEAPS,REST,GCIN
ESTMT,REST,CMCP
SIGPLMSG,REST,CMCP
AOS,REST,SIGPLMSG
CMCP,FILE,SIGPLMSG
AOS,FILE,CMCP
